z,MAG_AUTO_G,MAG_AUTO_R,MAG_AUTO_I,MAG_AUTO_Z
0.4878766,22.4773006439209,20.988800048828125,20.42449951171875,20.14389991760254
0.5421157,22.527999877929688,20.7268009185791,19.908000946044922,19.562599182128906
0.08865229,17.335899353027344,16.480899810791016,16.117300033569336,15.835100173950195
0.07910605,18.039499282836914,17.37299919128418,17.069400787353516,16.84630012512207
0.1291279,19.15169906616211,18.665700912475586,18.44610023498535,18.326900482177734
0.09033915,18.440200805664062,17.81879997253418,17.512100219726562,17.323999404907227
0.527016,20.827499389648438,19.099599838256836,18.305599212646484,17.92099952697754
0.6248134,21.94729995727539,20.257200241088867,19.4512996673584,19.056100845336914
0.1210891,18.577199935913086,17.601499557495117,17.17449951171875,16.881900787353516
0.37074,20.978599548339844,19.391000747680664,18.809600830078125,18.50429916381836
0.5665747,21.95789909362793,20.07029914855957,19.217500686645508,18.76810073852539
0.5392781,21.827199935913086,20.468900680541992,19.84480094909668,19.576200485229492
0.4700128,21.41550064086914,19.62150001525879,18.966699600219727,18.624500274658203
0.109337,18.290800094604492,17.411500930786133,17.03660011291504,16.774999618530273
0.1100556,18.599899291992188,18.284099578857422,18.012699127197266,17.95240020751953
0.1334653,19.10930061340332,18.68709945678711,18.431900024414062,18.325899124145508
0.3708042,20.3346004486084,18.641700744628906,18.06529998779297,17.730600357055664
0.08354945,17.578100204467773,16.73240089416504,16.348600387573242,16.060699462890625
0.5981212,22.799800872802734,20.768999099731445,19.885299682617188,19.43429946899414
0.2847621,19.40180015563965,17.986099243164062,17.533199310302734,17.24690055847168
0.1747119,20.029800415039062,19.1737003326416,18.78219985961914,18.58609962463379
0.6247691,22.45800018310547,20.645700454711914,19.697999954223633,19.25819969177246
0.05819593,17.406700134277344,16.531999588012695,16.16200065612793,15.888899803161621
0.3403167,21.047700881958008,19.50160026550293,18.947200775146484,18.611099243164062
0.232808,19.417299270629883,18.150699615478516,17.741600036621094,17.446399688720703
0.1864473,19.466699600219727,19.102399826049805,18.943500518798828,18.877500534057617
0.1122803,19.327699661254883,18.70709991455078,18.405099868774414,18.225500106811523
0.2023137,18.425399780273438,17.657800674438477,17.303199768066406,17.08139991760254
0.5981333,22.194900512695312,20.34160041809082,19.524499893188477,19.130399703979492
0.2785208,19.288999557495117,18.221099853515625,17.805599212646484,17.567899703979492
0.654564,21.996200561523438,20.702499389648438,19.81800079345703,19.355499267578125
0.2488702,19.74810028076172,18.31049919128418,17.8351993560791,17.524200439453125
0.529216,22.421100616455078,20.531099319458008,19.789600372314453,19.34600067138672
0.1623152,18.414600372314453,17.37220001220703,16.982999801635742,16.682899475097656
0.590058,22.599000930786133,20.73710060119629,19.751300811767578,19.362600326538086
0.6791533,22.927799224853516,21.003799438476562,19.929500579833984,19.539899826049805
0.4684633,21.59149932861328,19.748600006103516,19.075199127197266,18.64889907836914
0.2800409,20.774999618530273,19.328100204467773,18.858699798583984,18.54669952392578
0.1066068,17.985700607299805,17.35770034790039,17.003999710083008,16.803600311279297
0.159675,17.955699920654297,16.866199493408203,16.475500106811523,16.16510009765625
0.06537804,16.49049949645996,15.779399871826172,15.479100227355957,15.235799789428711
0.5633529,22.28459930419922,20.382600784301758,19.519500732421875,19.112699508666992
0.1972021,18.078399658203125,16.86829948425293,16.45199966430664,16.122299194335938
0.04999432,15.939900398254395,15.060199737548828,14.677399635314941,14.388099670410156
0.09379094,17.486299514770508,16.99920082092285,16.73069953918457,16.56920051574707
0.2366607,18.625499725341797,17.254199981689453,16.800800323486328,16.479900360107422
0.09763001,19.10300064086914,18.382999420166016,18.007099151611328,17.797700881958008
0.6173599,23.293899536132812,21.4468994140625,20.448400497436523,20.04599952697754
0.1618383,17.149999618530273,16.113500595092773,15.73859977722168,15.42080020904541
0.03961409,18.502300262451172,18.145999908447266,18.028499603271484,17.897600173950195
0.6126378,22.68829917907715,20.941600799560547,19.964500427246094,19.53230094909668
0.04926804,17.661300659179688,16.829999923706055,16.460500717163086,16.198400497436523
0.1347453,21.292699813842773,20.429899215698242,19.887800216674805,19.56570053100586
0.643146,22.40880012512207,20.678300857543945,19.755800247192383,19.39929962158203
0.3330881,21.109800338745117,19.582399368286133,19.0137996673584,18.66670036315918
0.1268359,17.685400009155273,16.804800033569336,16.415199279785156,16.142200469970703
0.4652319,22.17919921875,20.369400024414062,19.69529914855957,19.3523006439209
0.217672,19.04789924621582,18.367700576782227,18.013700485229492,17.858999252319336
0.5815734,22.065399169921875,20.528499603271484,19.714500427246094,19.33919906616211
0.4935158,21.493200302124023,20.042600631713867,19.448200225830078,19.125999450683594
0.4423931,21.116300582885742,19.538999557495117,18.98189926147461,18.633499145507812
0.4392183,20.696199417114258,18.989900588989258,18.404300689697266,18.033300399780273
0.2922606,20.458499908447266,18.888200759887695,18.381399154663086,18.06399917602539
0.528293,21.227800369262695,19.315900802612305,18.562000274658203,18.158700942993164
0.4594305,21.5625,19.731399536132812,19.074600219726562,18.706499099731445
0.08554773,17.672300338745117,16.92970085144043,16.569900512695312,16.32110023498535
0.1300484,19.500900268554688,18.936599731445312,18.667600631713867,18.507299423217773
0.2820176,19.982999801635742,18.530000686645508,18.04210090637207,17.708799362182617
0.2348485,19.240299224853516,18.020700454711914,17.571800231933594,17.290700912475586
0.1062142,17.4768009185791,16.48080062866211,16.0575008392334,15.74470043182373
0.3690639,20.488300323486328,18.828500747680664,18.28030014038086,17.985300064086914
0.05868181,18.143699645996094,17.43199920654297,17.107799530029297,16.85849952697754
0.07815832,16.875200271606445,16.389299392700195,16.166500091552734,15.99590015411377
0.07535086,16.60890007019043,16.037599563598633,15.78950023651123,15.61520004272461
0.1415531,18.478599548339844,17.704200744628906,17.33449935913086,17.09079933166504
0.07904792,17.540199279785156,17.009899139404297,16.7721004486084,16.6200008392334
0.1320313,18.59779930114746,17.771900177001953,17.3085994720459,17.042600631713867
0.3952787,20.702299118041992,19.01449966430664,18.421600341796875,18.099899291992188
0.1870233,18.855899810791016,18.041099548339844,17.683700561523438,17.478099822998047
0.1663069,18.35140037536621,17.597299575805664,17.270599365234375,17.04789924621582
0.5077212,22.006900787353516,20.226600646972656,19.558500289916992,19.13010025024414
0.1238098,18.190900802612305,17.43090057373047,17.06719970703125,16.81920051574707
0.4145987,20.9064998626709,19.062000274658203,18.50279998779297,18.159099578857422
0.1298341,17.61479949951172,16.616899490356445,16.202699661254883,15.903300285339355
0.3704042,20.715099334716797,19.519800186157227,19.09910011291504,18.714399337768555
0.4857229,21.96649932861328,20.072200775146484,19.406400680541992,19.04439926147461
0.4880285,21.37649917602539,19.70949935913086,19.12150001525879,18.740699768066406
0.06906644,18.026399612426758,17.133800506591797,16.764699935913086,16.47599983215332
0.08796223,17.55500030517578,16.635299682617188,16.24920082092285,15.95479965209961
0.4036547,20.537700653076172,18.751300811767578,18.141199111938477,17.79290008544922
0.4820679,22.269699096679688,20.557199478149414,19.82360076904297,19.341699600219727
0.6518403,22.999399185180664,20.843700408935547,19.797300338745117,19.283300399780273
0.3032534,19.90290069580078,18.42609977722168,17.916799545288086,17.627599716186523
0.09507769,18.30270004272461,17.449899673461914,17.096599578857422,16.81909942626953
0.1675793,17.688899993896484,16.852800369262695,16.46430015563965,16.204599380493164
