g_losses,d_losses,g_test_loss,d_test_loss,mse,mse_test
0.7883260846138,1.414147138595581,0.7919465899467468,1.412559986114502,1.1434237957000732,0.98589026927948
0.7878656387329102,1.4134849309921265,0.7913481593132019,1.4118461608886719,1.1493006944656372,0.9913792014122009
0.7873990535736084,1.4128811359405518,0.790730357170105,1.4112176895141602,1.1476341485977173,1.0041524171829224
0.7869063019752502,1.412201166152954,0.7899645566940308,1.4106738567352295,1.1484498977661133,1.008762001991272
0.7864184379577637,1.4114956855773926,0.7892576456069946,1.4100854396820068,1.1627757549285889,1.0185922384262085
0.7858739495277405,1.4109230041503906,0.7884626388549805,1.4095754623413086,1.1665886640548706,1.0231314897537231
0.7855150699615479,1.4103202819824219,0.7876156568527222,1.4091992378234863,1.1603037118911743,1.047142505645752
0.7846444845199585,1.409656047821045,0.7865967750549316,1.4089453220367432,1.1705560684204102,1.0512990951538086
0.7843540906906128,1.409125804901123,0.7859205007553101,1.4082777500152588,1.167492151260376,1.0600967407226562
0.7839590311050415,1.4083153009414673,0.785523533821106,1.4076138734817505,1.1828726530075073,1.0687915086746216
0.7833787202835083,1.4078400135040283,0.7849187850952148,1.4070165157318115,1.1790879964828491,1.0704351663589478
0.7830564379692078,1.4072496891021729,0.7842447757720947,1.4065213203430176,1.1831203699111938,1.0981613397598267
0.782382071018219,1.4068129062652588,0.7835485935211182,1.4061332941055298,1.1864516735076904,1.1125472784042358
0.7819318175315857,1.4061177968978882,0.7830056548118591,1.4054758548736572,1.1908528804779053,1.1247180700302124
0.781624972820282,1.4054675102233887,0.782098114490509,1.4052388668060303,1.1994432210922241,1.1412540674209595
0.7811340689659119,1.4050414562225342,0.78154057264328,1.4047327041625977,1.1981827020645142,1.146994948387146
0.7807183861732483,1.4044468402862549,0.7813530564308167,1.4040124416351318,1.19667387008667,1.1447824239730835
0.780168354511261,1.4038960933685303,0.7804592847824097,1.403756022453308,1.205102562904358,1.1683282852172852
0.7797707915306091,1.4032402038574219,0.7801552414894104,1.4030041694641113,1.2060911655426025,1.1597908735275269
0.7792766094207764,1.4027129411697388,0.7792243957519531,1.4028420448303223,1.210835576057434,1.1856096982955933
0.7787977457046509,1.4021801948547363,0.779502809047699,1.4016989469528198,1.206861138343811,1.1735173463821411
0.7784538269042969,1.4016931056976318,0.7788507342338562,1.4013111591339111,1.2116203308105469,1.1948721408843994
0.7779985070228577,1.4011666774749756,0.7784498333930969,1.4006719589233398,1.212382197380066,1.2060796022415161
0.7775657773017883,1.4005812406539917,0.7778578400611877,1.4002515077590942,1.2215288877487183,1.217569351196289
